Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0
2020-02-26,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0
2020-02-27,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,0.0
2020-02-28,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0
2020-02-29,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-01,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-02,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-03,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-04,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,,1.0,0.0,0.0,,1.0
2020-03-05,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,,1.0,0.0,0.0,,1.0
2020-03-06,,,,,2.0,,,0.0,,,0.0,,,,,,,,,,0.0,,2.0,0.0,0.0,,4.0
2020-03-07,,,,,2.0,,,0.0,,,0.0,,,,,,,,,,0.0,,4.0,0.0,0.0,,6.0
2020-03-08,,,,,2.0,,,0.0,,,0.0,,,,,,,,,,0.0,,3.0,1.0,0.0,,6.0
2020-03-09,,,,,4.0,,,3.0,,,0.0,,,,,,,,,,0.0,,5.0,1.0,0.0,,13.0
2020-03-10,,,,,1.0,,,4.0,,,0.0,,,,,,,,,,0.0,,8.0,1.0,0.0,,14.0
2020-03-11,,,,,1.0,2.0,,6.0,,,0.0,,,,,,,,,,0.0,,7.0,1.0,0.0,,17.0
2020-03-12,,,,,3.0,,,6.0,,,0.0,,,,,,,,,,0.0,,6.0,1.0,0.0,,18.0
2020-03-13,,,,,3.0,,,7.0,,,0.0,,,,,,,,,,0.0,,7.0,1.0,0.0,,20.0
2020-03-14,,,,,2.0,,,8.0,,,0.0,,,,,,,,,,13.0,,10.0,1.0,0.0,,36.0
2020-03-15,,,,,2.0,,,12.0,,,0.0,,,,,,,,,,16.0,,10.0,1.0,0.0,,43.0
2020-03-16,,,,,4.0,,,10.0,,,0.0,,,,,,,,,,18.0,,20.0,2.0,0.0,,56.0
2020-03-17,,,,,5.0,,,19.0,,,0.0,,,,,,,,,,23.0,,24.0,2.0,0.0,,75.0
2020-03-18,,,,,2.0,,5.0,20.0,,,0.0,,,,,,,,,,29.0,,24.0,2.0,0.0,,84.0
2020-03-19,6.0,,,,2.0,,5.0,19.0,,,0.0,,,,,,,,,,33.0,,23.0,5.0,0.0,,95.0
2020-03-20,4.0,,,,2.0,,6.0,22.0,,,1.0,,,,,,,,,,35.0,,23.0,6.0,0.0,,101.0
2020-03-21,,,,,4.0,,6.0,25.0,,,1.0,,,,,,,,,,40.0,,24.0,8.0,0.0,,114.0
2020-03-22,,,,,7.0,,8.0,36.0,,,2.0,,,,,,,,,,46.0,,30.0,11.0,0.0,,146.0
2020-03-23,3.0,,,,10.0,,7.0,43.0,,,3.0,,11.0,,,,,,,,45.0,,38.0,12.0,0.0,,174.0
2020-03-24,2.0,,,,11.0,,7.0,41.0,,,4.0,,8.0,,,,,,,,50.0,,38.0,13.0,0.0,,176.0
2020-03-25,5.0,,,,8.0,,7.0,50.0,,,4.0,,10.0,,,,1.0,,,,57.0,,48.0,15.0,1.0,,208.0
2020-03-26,10.0,,,,9.0,8.0,5.0,52.0,,,4.0,,9.0,,,,1.0,,,,60.0,,52.0,19.0,1.0,,230.0
