Canton,Date,Time
AG,2020-05-25,14:45
AI,2020-05-27,11:00
AR,2020-05-28,08:00
BE,2020-05-28,08:00
BL,2020-05-27,00:00
BS,2020-05-27,09:00
FR,2020-05-27,00:00
GE,2020-05-25,12:00
GL,2020-05-27,13:00
GR,2020-05-27,00:00
JU,2020-05-25,00:00
LU,2020-05-27,00:00
NE,2020-05-25,00:00
NW,2020-05-27,00:00
OW,2020-05-27,14:30
SG,2020-05-28,00:00
SH,2020-05-28,09:30
SO,2020-05-28,00:00
SZ,2020-05-27,10:00
TG,2020-05-28,00:00
TI,2020-05-28,08:00
UR,2020-05-27,17:00
VD,2020-05-27,00:00
VS,2020-05-27,00:00
ZG,2020-05-28,08:00
ZH,2020-05-27,14:30
