Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0
2020-02-26,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0
2020-02-27,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,0.0
2020-02-28,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0
2020-02-29,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-01,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-02,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-03,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-04,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-05,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-06,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,1.0,0.0,0.0,,1.0
2020-03-07,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,1.0,0.0,0.0,,1.0
2020-03-08,,,,,1.0,,,0.0,,,0.0,,,,,,,,,,0.0,,1.0,0.0,0.0,,2.0
2020-03-09,,,,,1.0,,,0.0,,,0.0,,,,,,,,,,0.0,,1.0,0.0,0.0,,2.0
2020-03-10,,,,,1.0,,,1.0,0.0,,0.0,,,,,,,,,,1.0,,1.0,0.0,0.0,,4.0
2020-03-11,,,,,2.0,,0.0,1.0,0.0,,0.0,,,,,,0.0,,,,1.0,,1.0,0.0,0.0,,5.0
2020-03-12,,,,,2.0,1.0,0.0,2.0,0.0,,0.0,,,,,,0.0,,,,1.0,,3.0,0.0,0.0,,9.0
2020-03-13,,,,,2.0,1.0,0.0,2.0,0.0,,0.0,,,,,,0.0,,,,1.0,,3.0,1.0,0.0,,10.0
2020-03-14,,0.0,,,2.0,1.0,0.0,2.0,0.0,,0.0,,,,,,0.0,,,,3.0,,5.0,1.0,0.0,,14.0
2020-03-15,,,,,2.0,,0.0,4.0,0.0,,0.0,,,,,,0.0,,,,6.0,,6.0,2.0,0.0,1.0,22.0
2020-03-16,,0.0,,1.0,2.0,4.0,0.0,4.0,0.0,,0.0,,,,,,0.0,,,,8.0,,8.0,3.0,0.0,1.0,31.0
2020-03-17,,0.0,,,2.0,4.0,0.0,5.0,0.0,1.0,0.0,,1.0,,,,0.0,,,,10.0,,10.0,3.0,0.0,1.0,38.0
2020-03-18,,,,1.0,2.0,4.0,0.0,6.0,0.0,1.0,0.0,,2.0,,,,0.0,,,,12.0,,13.0,4.0,0.0,2.0,47.0
2020-03-19,,0.0,,1.0,2.0,4.0,1.0,7.0,0.0,2.0,0.0,,3.0,,,,0.0,,,,13.0,,14.0,6.0,0.0,3.0,56.0
2020-03-20,1.0,,,2.0,3.0,4.0,1.0,9.0,0.0,3.0,0.0,,3.0,,,,0.0,,,,22.0,,20.0,7.0,0.0,4.0,79.0
2020-03-21,,,1.0,3.0,3.0,5.0,2.0,9.0,0.0,4.0,0.0,1.0,4.0,,,,0.0,,,,28.0,,23.0,10.0,0.0,5.0,99.0
2020-03-22,1.0,,,,3.0,5.0,3.0,10.0,0.0,4.0,0.0,1.0,4.0,,,,0.0,,,,37.0,,25.0,11.0,0.0,6.0,114.0
