Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0
2020-02-26,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0
2020-02-27,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,2.0,6.0
2020-02-28,1.0,,,1.0,1.0,1.0,,4.0,,,1.0,,,,,,,,,,,,,1.0,,2.0,13.0
2020-02-29,,,,,2.0,1.0,,6.0,,,1.0,,,,,,,,,,,,,1.0,0.0,6.0,20.0
2020-03-01,,,,2.0,2.0,1.0,1.0,8.0,,,1.0,,1.0,,,,,,,,,,,2.0,0.0,7.0,27.0
2020-03-02,2.0,,,4.0,2.0,1.0,2.0,8.0,,,1.0,,1.0,,,0.0,,,,,2.0,,,3.0,0.0,11.0,37.0
2020-03-03,6.0,,,,2.0,3.0,,11.0,,,2.0,,1.0,,,,,,1.0,,4.0,,,3.0,1.0,14.0,54.0
2020-03-04,7.0,,,6.0,2.0,3.0,4.0,11.0,,,2.0,0.0,8.0,,,1.0,,,3.0,,5.0,,,4.0,1.0,16.0,73.0
2020-03-05,9.0,,1.0,,6.0,8.0,6.0,15.0,,,4.0,,9.0,,,,,,,,18.0,,,5.0,2.0,24.0,117.0
2020-03-06,12.0,,,17.0,6.0,15.0,,19.0,,,4.0,,13.0,,,2.0,,1.0,6.0,,,,23.0,6.0,3.0,30.0,182.0
2020-03-07,,,,,15.0,21.0,,30.0,,,5.0,,18.0,,,,,,,,45.0,,30.0,7.0,3.0,35.0,254.0
2020-03-08,,,,,19.0,24.0,8.0,38.0,,,5.0,,24.0,,,,,,,,58.0,,40.0,12.0,3.0,41.0,311.0
2020-03-09,14.0,,2.0,34.0,20.0,28.0,11.0,47.0,,,7.0,,27.0,,,,,,,,68.0,,51.0,17.0,10.0,50.0,395.0
2020-03-10,17.0,,,,22.0,33.0,,73.0,1.0,,7.0,,31.0,,,,,,,,,,129.0,22.0,10.0,63.0,532.0
2020-03-11,18.0,,,,26.0,49.0,16.0,84.0,1.0,,7.0,,37.0,4.0,,,1.0,,,,,,202.0,30.0,11.0,102.0,701.0
2020-03-12,27.0,,5.0,,26.0,73.0,22.0,114.0,3.0,,12.0,,46.0,5.0,,15.0,1.0,,,,180.0,2.0,276.0,53.0,11.0,141.0,1053.0
2020-03-13,32.0,,,,42.0,92.0,29.0,178.0,6.0,,17.0,,59.0,5.0,1.0,,1.0,,9.0,,258.0,,368.0,76.0,11.0,164.0,1405.0
2020-03-14,,2.0,,,47.0,100.0,36.0,281.0,8.0,,18.0,,68.0,5.0,,,1.0,,12.0,,265.0,,477.0,98.0,13.0,219.0,1740.0
2020-03-15,,,,,54.0,,40.0,374.0,10.0,,19.0,,74.0,8.0,,,1.0,,13.0,,291.0,,560.0,115.0,13.0,251.0,2015.0
2020-03-16,52.0,4.0,,123.0,76.0,143.0,45.0,460.0,10.0,,25.0,,93.0,10.0,,,2.0,,,17.0,330.0,,797.0,172.0,20.0,327.0,2743.0
2020-03-17,67.0,5.0,,,89.0,164.0,59.0,587.0,12.0,101.0,29.0,,114.0,12.0,,47.0,2.0,,,23.0,422.0,,1040.0,225.0,29.0,430.0,3602.0
2020-03-18,101.0,,11.0,193.0,116.0,181.0,86.0,775.0,14.0,128.0,32.0,65.0,146.0,18.0,,61.0,8.0,43.0,,32.0,511.0,5.0,1305.0,312.0,33.0,569.0,4764.0
2020-03-19,118.0,6.0,,282.0,134.0,220.0,111.0,994.0,16.0,182.0,36.0,,175.0,25.0,,85.0,12.0,,,37.0,638.0,7.0,1514.0,349.0,37.0,680.0,5791.0
2020-03-20,168.0,,,377.0,184.0,270.0,145.0,1119.0,20.0,226.0,44.0,92.0,189.0,28.0,,98.0,17.0,66.0,,50.0,834.0,7.0,1756.0,436.0,48.0,712.0,6917.0
2020-03-21,,,,418.0,282.0,297.0,167.0,1248.0,25.0,258.0,54.0,109.0,200.0,33.0,,,28.0,,,57.0,918.0,12.0,1875.0,498.0,53.0,712.0,7607.0
2020-03-22,232.0,,,,289.0,356.0,202.0,1391.0,29.0,284.0,61.0,131.0,216.0,36.0,,,30.0,,,76.0,939.0,,1977.0,535.0,53.0,712.0,8174.0
2020-03-23,241.0,,30.0,470.0,302.0,374.0,226.0,1536.0,31.0,300.0,69.0,156.0,247.0,39.0,25.0,228.0,32.0,95.0,,82.0,1165.0,22.0,2283.0,628.0,53.0,1076.0,9729.0
2020-03-24,266.0,8.0,33.0,532.0,306.0,410.0,255.0,1636.0,33.0,343.0,82.0,205.0,265.0,42.0,25.0,,34.0,104.0,97.0,88.0,1211.0,25.0,2548.0,728.0,72.0,1224.0,10800.0
2020-03-25,319.0,9.0,34.0,624.0,341.0,462.0,293.0,1757.0,40.0,393.0,92.0,228.0,280.0,44.0,27.0,228.0,35.0,129.0,0,97.0,1354.0,0,2740.0,793.0,80.0,1371.0,11892.0
2020-03-26,349.0,11.0,42.0,660.0,422.0,501.0,309.0,1979.0,43.0,433.0,100.0,253.0,299.0,48.0,30.0,306.0,36.0,141.0,107.0,111.0,1401.0,38.0,2945.0,874.0,87.0,1503.0,13028.0
2020-03-27,364.0,12.0,44.0,718.0,466.0,530.0,369.0,2164.0,47.0,474.0,114.0,287.0,316.0,54.0,37.0,,37.0,157.0,119.0,118.0,1688.0,40.0,3179.0,968.0,94.0,1630.0,14332.0
